INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
813	[1-8-1-3]	私服·格兰妮	100			Gacha/Gacha_girl0805		14
822	[1-8-2-2]	训练服·格兰妮	100					114
832	[1-8-3-2]	拉拉队·格兰妮	100					122
843	[1-8-4-3]	女仆装·格兰妮	100			Gacha/Gacha_girl0804		21
874	[1-8-7-4]	战术装备·格兰妮	100			Gacha/Gacha_girl0807		2
8164	[1-8-16-4]	西洋棋·格兰妮	100			Gacha/Gacha_girl0816		2
911	[1-9-1-1]	公式服·时无瑕	100					1115
922	[1-9-2-2]	训练服·时无瑕	100					115
932	[1-9-3-2]	拉拉队·时无瑕	100					123
913	[1-9-1-3]	私服·时无瑕	100			Gacha/Gacha_girl0905		15
944	[1-9-4-4]	女仆装·时无瑕	100	1	Card/All/girl09_card04.png	Gacha/Gacha_girl0904		3
9124	[1-9-12-4]	旗袍·时无瑕	100			Gacha/Gacha_girl0912		2
9133	[1-9-13-3]	事务官·时无瑕	100			Gacha/Gacha_girl0913		2
9203	[1-9-20-3]	群青之翼·时无瑕	100			Gacha/Gacha_girl0920		2
1011	[1-10-1-1]	公式服·时无忧	100					1116
1013	[1-10-1-3]	私服·时无忧	100			Gacha/Gacha_girl1005		16
1022	[1-10-2-2]	训练服·时无忧	100					116
1032	[1-10-3-2]	拉拉队·时无忧	100					124
1044	[1-10-4-4]	女仆装·时无忧	100			Gacha/Gacha_girl1004		22
1074	[1-10-7-4]	战术装备·时无忧	100			Gacha/Gacha_girl1007		2
10124	[1-10-12-4]	旗袍·时无忧	100			Gacha/Gacha_girl1012		2
10204	[1-10-20-4]	群青之翼·时无忧	100			Gacha/Gacha_girl1020		2
10243	[1-10-24-3]	快餐厅·时无忧	100			Gacha/Gacha_girl1024		1
10264	[1-10-26-4]	圣诞·时无忧	100			Gacha/Gacha_girl1026		2
1111	[1-11-1-1]	公式服·丽达	100					1117
1113	[1-11-1-3]	私服·丽达	100			Gacha/Gacha_girl1105		17
1132	[1-11-3-2]	拉拉队·丽达	100					125
1122	[1-11-2-2]	训练服·丽达	100					117
1143	[1-11-4-3]	女仆装·丽达	100			Gacha/Gacha_girl1104		24
11114	[1-11-11-4]	清理者·丽达	100			Gacha/Gacha_girl1111		2
1211	[1-12-1-1]	公式服·伊珂丝	100					1118
1213	[1-12-1-3]	私服·伊珂丝	100			Gacha/Gacha_girl1205		18
1232	[1-12-3-2]	拉拉队·伊珂丝	100					126
1222	[1-12-2-2]	训练服·伊珂丝	100					118
1243	[1-12-4-3]	女仆装·伊珂丝	100			Gacha/Gacha_girl1204		25
1264	[1-12-6-4]	童话·伊珂丝	100			Gacha/Gacha_girl1206		2
1284	[1-12-8-4]	水着·伊珂丝	100			Gacha/Gacha_girl1208		8
12103	[1-12-10-3]	浴衣·伊珂丝	100			Gacha/Gacha_girl1210		2
12163	[1-12-16-3]	西洋棋·伊珂丝	100			Gacha/Gacha_girl1216		2
12204	[1-12-20-4]	少女星辰·伊珂丝	100	1	Card/All/girl12_card20.png	Gacha/Gacha_girl1220		2
12274	[1-12-27-4]	冬装·伊珂丝	100			Gacha/Gacha_girl1227		2
1311	[1-13-1-1]	公式服·卡萝	100					1117
1313	[1-13-1-3]	私服·卡萝	100			Gacha/Gacha_girl1305		2
13263	[1-13-26-3]	圣诞·卡萝	100			Gacha/Gacha_girl1326		2
1411	[1-14-1-1]	公式服·聂诗柔	100					1117
1413	[1-14-1-3]	私服·聂诗柔	100			Gacha/Gacha_girl1405		2
14144	[1-14-14-4]	机动套装·聂诗柔	100			Gacha/Gacha_girl1414		2
1511	[1-15-1-1]	公式服·阿尼娅	100					1117
1513	[1-15-1-3]	私服·阿尼娅	100			Gacha/Gacha_girl1505		2
15144	[1-15-14-4]	机动套装·阿尼娅	100			Gacha/Gacha_girl1514		2
15273	[1-15-27-3]	冬装·阿尼娅	100			Gacha/Gacha_girl1527		2
1611	[1-16-1-1]	公式服·唯	100					1117
1613	[1-16-1-3]	私服·唯	100			Gacha/Gacha_girl1605		2
