INT	GDPL	NUL	INT	BOOL	STR	STR	INT	INT
1022	[1-10-2-2]	训练服·时无忧	100					116
1032	[1-10-3-2]	拉拉队·时无忧	100					124
1044	[1-10-4-4]	女仆装·时无忧	100	1	Card/All/girl10_card04.png	Gacha/Gacha_girl1004		22
1074	[1-10-7-4]	战术装备·时无忧	100			Gacha/Gacha_girl1007		2
10124	[1-10-12-4]	旗袍·时无忧	100			Gacha/Gacha_girl1012		2
1111	[1-11-1-1]	公式服·丽达	100					1117
1113	[1-11-1-3]	私服·丽达	100			Gacha/Gacha_girl1105		17
1132	[1-11-3-2]	拉拉队·丽达	100					125
1122	[1-11-2-2]	训练服·丽达	100					117
1143	[1-11-4-3]	女仆装·丽达	100			Gacha/Gacha_girl1104		24
1211	[1-12-1-1]	公式服·伊珂丝	100					1118
1213	[1-12-1-3]	私服·伊珂丝	100			Gacha/Gacha_girl1205		18
1232	[1-12-3-2]	拉拉队·伊珂丝	100					126
1222	[1-12-2-2]	训练服·伊珂丝	100					118
1243	[1-12-4-3]	女仆装·伊珂丝	100			Gacha/Gacha_girl1204		25
1284	[1-12-8-4]	水着·伊珂丝	100			Gacha/Gacha_girl1208		8
12163	[1-12-16-3]	西洋棋·伊珂丝	100			Gacha/Gacha_girl1216		1
