INT	INT	INT	STR
62	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_62_ZH
63	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_63_ZH
64	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_64_ZH
65	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_65_ZH
66	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_66_ZH
68	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_68_ZH
69	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_69_ZH
70	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_70_ZH
71	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_71_ZH
72	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_72_ZH
101	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_2
102	[1,9700],[50,9700]	[1,300],[50,300]	HedgeCard_1_base_card_8
103	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_2nd_UP
104	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_2
105	[1,9700],[100,9700]	[1,300],[100,300]	HedgeCardPool_11
106	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_3
107	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_5_Mul
108	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_6_Mul
109	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_7_Mul
110	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_1_base_7_Mul
111	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_1_base_8_Mul
112	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_1_base_8
113	[1,9700],[100,9700]	[1,300],[100,300]	HedgeWeaponPool_1_base_9_Mul
114	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_1_base_weapon_510_up_Mul
115	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_1_base_weapon_511_up_Mul
116	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_1_base_weapon_515_up_Mul
117	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_1_base_weapon_516_up_Mul
118	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_1_base_weapon_520_up_Mul
411	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_41_ZH
412	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_40_ZH
421	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_41_ZH
444	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_44_ZH
445	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_45_ZH
449	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_49_ZH
451	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_51_ZH
452	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_52_ZH
458	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_58_ZH
459	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_59_ZH
461	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_61_ZH
463	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_63_ZH
465	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_65_ZH
466	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_66_ZH
467	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_base_card_70_ZH
511	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_511_up_Mul
515	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_515_up_Mul
516	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_516_up_Mul
517	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_517_up_Mul
518	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_518_up_Mul
519	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_519_up_Mul
520	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_520_up_Mul
610	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_weapon_510_up_Mul
666	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_1_20210303
700	[1,0],[50,0]	[1,10000],[50,10000]	HedgeCard_weapon_optional
701	[1,9700],[100,9700]	[1,300],[100,300]	Hedge_card_weapon_choose_base_weapon_510
4302	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_2_ZH
4303	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_44_ZH
4304	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_45_ZH
4305	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_45_ZH_05
4306	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_45_ZH_06
4307	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_49_ZH_07
4308	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_49_ZH_08
4309	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_49_ZH_09
4310	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_51_ZH
4311	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_52_ZH
4312	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_52_ZH_02
4313	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_52_ZH_03
4314	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_58_ZH
4315	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_59_ZH
4316	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_59_ZH_02
4317	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_59_ZH_03
4318	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_59_ZH_04
4319	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_61_ZH
4320	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_61_ZH_02
4321	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_63_ZH
4322	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_64_ZH
4323	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_65_ZH
4324	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_65_ZH_02
4325	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_65_ZH_03
4326	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_65_ZH_04
4327	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_66_ZH
4328	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_66_ZH_02
4329	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_66_ZH_03
4330	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_66_ZH_04
4331	[1,9700],[50,9700]	[1,300],[50,300]	Hedge_card_43_3_base_card_70_ZH
