INT	INT	STRING	STRING	STRING	STR	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INTARR	INT	STRING	STRING
10	1	角色卡_睡衣_4期爬塔_ZH	gacha.gacha.10.name	Poster/event_gacha04_banner_Mul	Poster/event_gacha04_Mul	gacha.gacha.10.timedesc	gacha.gacha.10.desc	Poster/event_gacha04_banner_Mul	gacha.gacha.10.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202002170800, 202003010400}	card_10_ZH	4		50	100	300	[8-10-10-4]	8	2	[7-1-4-2-1]	1	150						
11	1	角色卡_西洋棋_5期爬塔_ZH	gacha.gacha.11.name	Poster/event_gacha05_banner_Mul	Poster/event_gacha05_Mul	gacha.gacha.11.timedesc	gacha.gacha.11.desc	Poster/event_gacha05_banner_Mul	gacha.gacha.11.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202002280800, 202003170400}	card_11_ZH	4		50	100	300	[8-10-11-4]	10	2	[7-1-4-2-1]	1	150						
12	1	角色卡_圣诞新年	gacha.gacha.16.name	Poster/event_gacha101_banner_Mul	Poster/event_gacha101_Mul	gacha.gacha.16.timedesc	gacha.gacha.16.desc	Poster/event_gacha101_banner_Mul	gacha.gacha.16.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{201912230800, 202001030400}	card_12_ZH	4		50	100			9	2	[7-1-4-2-1]	1	150						
14	1	角色卡_水着2期_6期爬塔_ZH	gacha.gacha.14.name	Poster/event_gacha061_banner_Mul	Poster/event_gacha061_Mul	gacha.gacha.14.timedesc	gacha.14.desc	Poster/event_gacha061_banner_Mul	gacha.gacha.14.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202003300800, 202004150400}	card_14_ZH	4		50	100	300	[8-10-14-4]	12	2	[7-1-4-2-1]	1	150						
18	1	角色卡_旗袍_春节_ZH	gacha.gacha.18.name	Poster/event_gacha102_banner_Mul	Poster/event_gacha102_Mul	gacha.gacha.18.timedesc	gacha.gacha.18.desc	Poster/event_gacha102_banner_Mul	gacha.gacha.18.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202001201200, 202002070400}	card_18_ZH	4		50	100	300	[8-10-18-4]	6	1	[7-1-4-2-1]	1	150						
19	1	角色卡_战术装备3期	gacha.gacha.19.name	Poster/event_gacha071_banner_Mul	Poster/event_gacha071_Mul	gacha.gacha.19.timedesc	gacha.gacha.19.desc	Poster/event_gacha071_banner_Mul	gacha.gacha.19.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202004151200, 202004280400}	card_19_ZH	4		50	100	300	[8-10-19-4]	15	2	[7-1-4-2-1]	1	150						
20	1	角色卡_情人节伊珂丝	gacha.gacha.20.name	Poster/event_gacha103_banner_Mul	Poster/event_gacha103_Mul	gacha.gacha.20.timedesc	gacha.gacha.20.desc	Poster/event_gacha103_banner_Mul	gacha.gacha.20.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202002140800, 202002290400}	card_20_ZH	4		50	150			105	2	[7-1-4-2-1]	1	150						
21	1	角色卡_机动套装_新少女_ZH	gacha.gacha.21.name	Poster/event_gacha105_banner_Mul	Poster/event_gacha105_Mul	gacha.gacha.21.timedesc	gacha.gacha.21.desc	Poster/event_gacha105_banner_Mul	gacha.gacha.21.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202003170800, 202003300400}	card_21_ZH	4		50	100	300	[8-10-21-4]	11	2	[7-1-4-2-1]	1	150						
23	1	角色卡_事务官	gacha.gacha.23.name	Poster/event_gacha08_banner_Mul	Poster/event_gacha08_Mul	gacha.gacha.23.timedesc	gacha.gacha.23.desc	Poster/event_gacha08_banner_Mul	gacha.gacha.23.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202004280800, 202005140400}	card_23_ZH	4		50	100	300	[8-10-23-4]	16	2	[7-1-4-2-1]	1	150						
24	1	角色卡_水着3期_9期爬塔	gacha.gacha.24.name	Poster/event_gacha09_banner_Mul	Poster/event_gacha09_Mul	gacha.gacha.24.timedesc	gacha.gacha.24.desc	Poster/event_gacha09_banner_Mul	gacha.gacha.24.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202005290800, 202006140400}	card_24_ZH	4		50	100	300	[8-10-24-4]	20	2	[7-1-4-2-1]	1	150						
26	1	角色卡_童话	gacha.gacha.26.name	Poster/event_gacha10_banner_Mul	Poster/event_gacha10_Mul	gacha.gacha.26.timedesc	gacha.gacha.26.desc	Poster/event_gacha10_banner_Mul	gacha.gacha.26.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202006141200, 202006290400}	card_26_ZH	4		50	100	300	[8-10-26-4]	21	2	[7-1-4-2-1]	1	150						
27	1	角色卡_春季约会	gacha.gacha.27.name	Poster/event_gacha107_banner_Mul	Poster/event_gacha107_Mul	gacha.gacha.27.timedesc	gacha.gacha.27.desc	Poster/event_gacha107_banner_Mul	gacha.gacha.27.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202005140800, 202005290400}	card_27_ZH	4		50	100	300	[8-10-27-4]	18	2	[7-1-4-2-1]	1	150						
29	1	角色卡_闲情记趣	gacha.gacha.29.name	Poster/event_gacha108_banner_Mul	Poster/event_gacha108_Mul	gacha.gacha.29.timedesc	gacha.gacha.29.desc	Poster/event_gacha108_banner_Mul	gacha.gacha.29.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202006290800, 202007130400}	card_29_ZH	4		50	100	300	[8-10-29-4]	24	2	[7-1-4-2-1]	1	150						
30	1	角色卡_音乐会（上）	gacha.gacha.30.name	Poster/event_gacha110_banner_Mul	Poster/event_gacha110_Mul	gacha.gacha.30.timedesc	gacha.gacha.30.desc	Poster/event_gacha110_banner_Mul	gacha.gacha.30.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202007240800, 202008090400}	card_30_ZH	4		50	100	300	[8-10-30-4]	26	2	[7-1-4-2-1]	1	150						
31	1	角色卡_音乐会（下）	gacha.gacha.31.name	Poster/event_gacha111_banner_Mul	Poster/event_gacha111_Mul	gacha.gacha.31.timedesc	gacha.gacha.31.desc	Poster/event_gacha111_banner_Mul	gacha.gacha.31.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202008090400, 202008250400}	card_31_ZH	4		50	100	300	[8-10-31-4]	27	2	[7-1-4-2-1]	1	150						
32	1	角色卡_浴衣	gacha.gacha.32.name	Poster/event_gacha11_banner_Mul	Poster/event_gacha11_Mul	gacha.gacha.32.timedesc	gacha.gacha.32.desc	Poster/event_gacha11_banner_Mul	gacha.gacha.32.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202008280800, 202009110400}	card_32_ZH	4		50	100	300	[8-10-32-4]	29	2	[7-1-4-2-1]	1	150						
33	1	角色卡_圣诞新年_复刻	gacha.gacha.33.name	Poster/event_gacha202_banner_Mul	Poster/event_gacha202_Mul	gacha.gacha.33.timedesc	gacha.gacha.33.desc	Poster/event_gacha202_banner_Mul	gacha.gacha.33.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202009110800, 202009250400}	card_33_ZH	4		50	100	300	[8-10-12-4]	31	2	[7-1-4-2-1]	1	150						
34	1	角色卡_黄金纪行	gacha.gacha.34.name	Poster/event_gacha113_banner_Mul	Poster/event_gacha113_Mul	gacha.gacha.34.timedesc	gacha.gacha.34.desc	Poster/event_gacha113_banner_Mul	gacha.gacha.34.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202009250800, 202010150400}	card_34_ZH	4		50	100	300	[8-10-34-4]	33	2	[7-1-4-2-1]	1	150						
35	1	角色卡_污染者1期	gacha.gacha.35.name	Poster/event_gacha12_banner_Mul	Poster/event_gacha12_Mul	gacha.gacha.35.timedesc	gacha.gacha.35.desc	Poster/event_gacha12_banner_Mul	gacha.gacha.35.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202010150800, 202010300400}	card_35_ZH	4		50	100	300	[8-10-35-4]	34	2	[7-1-4-2-1]	1	150						
37	1	角色卡_万圣节	gacha.gacha.37.name	Poster/event_gacha114_banner_Mul	Poster/event_gacha114_Mul	gacha.gacha.37.timedesc	gacha.gacha.37.desc	Poster/event_gacha114_banner_Mul	gacha.gacha.37.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202010300800, 202011190400}	card_37_ZH	4		50	100	300	[8-10-37-4]	35	2	[7-1-4-2-1]	1	150						
38	1	角色卡_破晓慕心_ZH	gacha.gacha.38.name	Poster/event_gacha115_banner_Mul	Poster/event_gacha115_Mul	gacha.gacha.38.timedesc	gacha.gacha.38.desc	Poster/event_gacha115_banner_Mul	gacha.gacha.38.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202011190800, 202012080400}	card_38_ZH	4		50	100	300	[8-10-38-4]	37	2	[7-1-4-2-1]	1	150	1	1	{202011190800, 202011290400}			
39	1	角色卡_镇魂之羽_ZH	gacha.gacha.39.name	Poster/event_gacha117_banner_Mul	Poster/event_gacha117_Mul	gacha.gacha.39.timedesc	gacha.gacha.39.desc	Poster/event_gacha117_banner_Mul	gacha.gacha.39.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202012080800, 202012240400}	card_39_ZH	4		50	100	300	[8-10-39-4]	39	2	[7-1-4-2-1]	1	150						
40	1	角色卡_神选颂歌_ZH	gacha.gacha.40.name	Poster/event_gacha118_banner_Mul	Poster/event_gacha118_Mul	gacha.gacha.40.timedesc	gacha.gacha.40.desc	Poster/event_gacha118_banner_Mul	gacha.gacha.40.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202012240800, 202101130400}	card_40_ZH	4		50	100	300	[8-10-40-4]	40	2	[7-1-4-2-1]	1	150						
41	1	角色卡_边缘保护者_ZH	gacha.gacha.41.name	Poster/event_gacha13_banner_Mul	Poster/event_gacha13_Mul	gacha.gacha.41.timedesc	gacha.gacha.41.desc	Poster/event_gacha13_banner_Mul	gacha.gacha.41.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202101130800, 202102020400}	card_41_ZH	4		50	100	300	[8-10-41-4]	411	2	[7-1-4-2-1]	1	150						
42	1	角色卡_冬幕恋歌_ZH	gacha.gacha.42.name	Poster/event_gacha119_banner_Mul	Poster/event_gacha119_Mul	gacha.gacha.42.timedesc	gacha.gacha.42.desc	Poster/event_gacha119_banner_Mul	gacha.gacha.42.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202102020800, 202102240400}	card_42_ZH	4		50	100	300	[8-10-42-4]	42	2	[7-1-4-2-1]	1	150						
43	1	角色卡_店中当家_ZH	gacha.gacha.43.name	Poster/event_gacha120_banner_Mul	Poster/event_gacha120_Mul	gacha.gacha.43.timedesc	gacha.gacha.43.desc	Poster/event_gacha120_banner_Mul	gacha.gacha.43.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202102240800, 202103100400}	card_43_ZH	4		50	100	300	[8-10-43-4]	43	2	[7-1-4-2-1]	1	150				1		
44	1	角色卡_市街漫卷_ZH	gacha.gacha.44.name	Poster/event_gacha121_banner_Mul	Poster/event_gacha121_Mul	gacha.gacha.44.timedesc	gacha.gacha.44.desc	Poster/event_gacha121_banner_Mul	gacha.gacha.44.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202103100800, 202103310400}	card_44_ZH	3		50	100	300	[8-10-44-4]	44	2	[7-1-4-2-1]	1	150						
45	1	角色卡_我就喜欢！_ZH	gacha.gacha.45.name	Poster/event_gacha122_banner_Mul	Poster/event_gacha122_Mul	gacha.gacha.45.timedesc	gacha.gacha.45.desc	Poster/event_gacha122_banner_Mul	gacha.gacha.45.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202103310800, 202104230400}	card_45_ZH	3		50	100	300	[8-10-45-4]	45	2	[7-1-4-2-1]	1	150						
46	1	角色卡_跨界电击_ZH	gacha.gacha.46.name	Poster/event_gacha142_banner_Mul	Poster/event_gacha142_Mul	gacha.gacha.46.timedesc	gacha.gacha.46.desc	Poster/event_gacha142_banner_Mul	gacha.gacha.46.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202201260800, 202202230400}	card_46_ZH	3		50	100	300	[8-10-46-4]	46	2	[7-1-4-2-1]	1	150						
47	1	角色卡_情人节伊珂丝_复刻	gacha.gacha.47.name	Poster/event_gacha124_banner_Mul	Poster/event_gacha124_Mul	gacha.gacha.47.timedesc	gacha.gacha.47.desc	Poster/event_gacha124_banner_Mul	gacha.gacha.47.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202104230800, 202105130400}	card_47_ZH	3		50	150			47	2	[7-1-4-2-1]	1	150						
48	1	角色卡_铭心红枫	gacha.gacha.48.name	Poster/event_gacha123_banner_Mul	Poster/event_gacha123_Mul	gacha.gacha.48.timedesc	gacha.gacha.48.desc	Poster/event_gacha123_banner_Mul	gacha.gacha.48.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202104230800, 202105130400}	card_48_ZH	3		50	150			48	2	[7-1-4-2-1]	1	150						
49	1	角色卡_天平与剑_ZH	gacha.gacha.49.name	Poster/event_gacha125_banner_Mul	Poster/event_gacha125_Mul	gacha.gacha.49.timedesc	gacha.gacha.49.desc	Poster/event_gacha125_banner_Mul	gacha.gacha.49.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202105130800, 202106010400}	card_49_ZH	3		50	100	300	[8-10-49-4]	49	2	[7-1-4-2-1]	1	150						
50	1	角色卡_星与尘间的道标	gacha.gacha.50.name	Poster/event_gacha126_banner_Mul	Poster/event_gacha126_Mul	gacha.gacha.50.timedesc	gacha.gacha.50.desc	Poster/event_gacha126_banner_Mul	gacha.gacha.50.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202106010800, 202106210400}	card_50_ZH	3		50	100	300	[8-10-50-4]	50	2	[7-1-4-2-1]	1	150						
51	1	角色卡_旗袍2期_ZH	gacha.gacha.51.name	Poster/event_gacha127_banner_Mul	Poster/event_gacha127_Mul	gacha.gacha.51.timedesc	gacha.gacha.51.desc	Poster/event_gacha127_banner_Mul	gacha.gacha.51.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202106210800, 202107120400}	card_51_ZH	3		50	100	300	[8-10-51-4]	51	2	[7-1-4-2-1]	1	150						
52	1	角色卡_水手服_ZH	gacha.gacha.52.name	Poster/event_gacha128_banner_Mul	Poster/event_gacha128_Mul	gacha.gacha.52.timedesc	gacha.gacha.52.desc	Poster/event_gacha128_banner_Mul	gacha.gacha.52.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202107120800, 202107300400}	card_52_ZH	3		50	100	300	[8-10-52-4]	52	2	[7-1-4-2-1]	1	150						
53	1	角色卡_夏季约会_复刻	gacha.gacha.53.name	Poster/event_gacha129_banner_Mul	Poster/event_gacha129_Mul	gacha.gacha.53.timedesc	gacha.gacha.53.desc	Poster/event_gacha129_banner_Mul	gacha.gacha.53.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202107120800, 202107310400}	card_53_ZH	3		50	100	300	[8-10-29-4]	53	2	[7-1-4-2-1]	1	150						
57	1	角色卡_凡尘相伴	gacha.gacha.57.name	Poster/event_gacha133_banner_Mul	Poster/event_gacha133_Mul	gacha.gacha.57.timedesc	gacha.gacha.57.desc	Poster/event_gacha133_banner_Mul	gacha.gacha.57.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202107300800, 202108200400}	card_57_ZH	3		50	100	300	[8-10-57-4]	57	2	[7-1-4-2-1]	1	150						
58	1	角色卡_演绎法_(怪盗/侦探）_ZH	gacha.gacha.58.name	Poster/event_gacha134_banner_Mul	Poster/event_gacha134_Mul	gacha.gacha.58.timedesc	gacha.gacha.58.desc	Poster/event_gacha134_banner_Mul	gacha.gacha.58.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202108200800, 202109090400}	card_58_ZH	3		50	100	300	[8-10-58-4]	58	2	[7-1-4-2-1]	1	150						
59	1	角色卡_漫游奇境_(童话2期）_ZH	gacha.gacha.59.name	Poster/event_gacha135_banner_Mul	Poster/event_gacha135_Mul	gacha.gacha.59.timedesc	gacha.gacha.59.desc	Poster/event_gacha135_banner_Mul	gacha.gacha.59.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202109090800, 202109290400}	card_59_ZH	3		50	100	300	[8-10-59-4]	59	2	[7-1-4-2-1]	1	150						
60	1	角色卡_黄金纪行_复刻	gacha.gacha.60.name	Poster/event_gacha136_banner_Mul	Poster/event_gacha136_Mul	gacha.gacha.60.timedesc	gacha.gacha.60.desc	Poster/event_gacha136_banner_Mul	gacha.gacha.60.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202109290800, 202110190400}	card_60_ZH	3		50	100	300	[8-10-34-4]	60	2	[7-1-4-2-1]	1	150						
61	1	角色卡_耳爪萌动_ZH	gacha.gacha.61.name	Poster/event_gacha137_banner_Mul	Poster/event_gacha137_Mul	gacha.gacha.61.timedesc	gacha.gacha.61.desc	Poster/event_gacha137_banner_Mul	gacha.gacha.61.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202110190800, 202111080400}	card_61_ZH	3		50	100	300	[8-10-61-4]	61	2	[7-1-4-2-1]	1	150						
62	1	角色卡_浮诗众生（神曲上）_ZH	gacha.gacha.62.name	Poster/event_gacha138_banner_Mul	Poster/event_gacha138_Mul	gacha.gacha.62.timedesc	gacha.gacha.62.desc	Poster/event_gacha138_banner_Mul	gacha.gacha.62.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202111190800, 202112230400}	card_62_ZH	3		50	100	300	[8-10-62-4]	62	2	[7-1-4-2-1]	1	150	1	1	{202111190800, 202111290400}			
63	1	角色卡_边境旅者（神曲下）_ZH	gacha.gacha.63.name	Poster/event_gacha139_banner_Mul	Poster/event_gacha139_Mul	gacha.gacha.63.timedesc	gacha.gacha.63.desc	Poster/event_gacha139_banner_Mul	gacha.gacha.63.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202112070800, 202112230400}	card_63_ZH	3		50	100	300	[8-10-63-4]	63	2	[7-1-4-2-1]	1	150	1	1	{202112070800, 202112170400}			
64	1	角色卡_心形缤纷_ZH	gacha.gacha.64.name	Poster/event_gacha140_banner_Mul	Poster/event_gacha140_Mul	gacha.gacha.64.timedesc	gacha.gacha.64.desc	Poster/event_gacha140_banner_Mul	gacha.gacha.64.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202112230800, 202201130400}	card_64_ZH	3		50	100	300	[8-10-64-4]	64	2	[7-1-4-2-1]	1	150						
65	1	角色卡_梦源奇旅_ZH	gacha.gacha.65.name	Poster/event_gacha141_banner_Mul	Poster/event_gacha141_Mul	gacha.gacha.65.timedesc	gacha.gacha.65.desc	Poster/event_gacha141_banner_Mul	gacha.gacha.65.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202201060800, 202201260400}	card_65_ZH	3		50	100	300	[8-10-65-4]	65	2	[7-1-4-2-1]	1	150						
67	1	角色卡_玉壶星雨_ZH	gacha.gacha.66.name	Poster/event_gacha143_banner_Mul	Poster/event_gacha143_Mul	gacha.gacha.66.timedesc	gacha.gacha.66.desc	Poster/event_gacha143_banner_Mul	gacha.gacha.66.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202202230800, 202203160400}	card_66_ZH	3		50	100	300	[8-10-66-4]	66	2	[7-1-4-2-1]	1	150						
68	1	角色卡_冬幕恋歌_复刻	gacha.gacha.68.name	Poster/event_gacha145_banner_Mul	Poster/event_gacha145_Mul	gacha.gacha.68.timedesc	gacha.gacha.68.desc	Poster/event_gacha145_banner_Mul	gacha.gacha.68.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202203160800, 202204060400}	card_68_ZH	3		50	100	300	[8-10-42-4]	68	2	[7-1-4-2-1]	1	150						
69	1	角色卡_春季约会	gacha.gacha.69.name	Poster/event_gacha144_banner_Mul	Poster/event_gacha144_Mul	gacha.gacha.69.timedesc	gacha.gacha.69.desc	Poster/event_gacha144_banner_Mul	gacha.gacha.69.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202204060800, 202204270400}	card_69_ZH	3		50	100	300	[8-10-27-4]	69	2	[7-1-4-2-1]	1	150						
70	1	角色卡_金缕暗香_ZH	gacha.gacha.70.name	Poster/event_gacha146_banner_Mul	Poster/event_gacha146_Mul	gacha.gacha.70.timedesc	gacha.gacha.70.desc	Poster/event_gacha146_banner_Mul	gacha.gacha.70.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202204270800, 202205180400}	card_70_ZH	3		50	100	300	[8-10-70-4]	70	2	[7-1-4-2-1]	1	150						
71	1	角色卡_凡尘相伴_复刻	gacha.gacha.71.name	Poster/event_gacha147_banner_Mul	Poster/event_gacha147_Mul	gacha.gacha.71.timedesc	gacha.gacha.71.desc	Poster/event_gacha147_banner_Mul	gacha.gacha.71.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202205180800, 202206080400}	card_71_ZH	2		50	100	300	[8-10-57-4]	71	2	[7-1-4-2-1]	1	150						
72	1	角色卡_星与尘间的道标_复刻_ZH	gacha.gacha.72.name	Poster/event_gacha148_banner_Mul	Poster/event_gacha148_Mul	gacha.gacha.72.timedesc	gacha.gacha.72.desc	Poster/event_gacha148_banner_Mul	gacha.gacha.72.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0		1	{202206080800, 202206290400}	card_72_ZH	1		50	100	300	[8-10-50-4]	72	2	[7-1-4-2-1]	1	150						
																																		
1	1	角色卡_基础蛋池_水着同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{201912061200, 20191223075959}	card_1_base_card_2	6		50				101	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_圣诞新年&战术装备2_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{201912230800, 20200120115959}	card_1_base_card_8	6		50				102	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_春节旗袍_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202001201200, 20200217075959}	card_1_base_card_9_ZH	6		50				2	1	[7-1-4-2-1]	1	150						
1	1	角色卡_基础蛋池_睡衣_同期	gacha.gacha.1.name	Poster/event_gacha00_banner_Mul	Poster/event_gacha00_Mul	gacha.gacha.1.timedesc	gacha.gacha.1.desc	Poster/event_gacha00_banner_Mul	gacha.gacha.1.info	0	[9-12-1-1-1]	[9-13-1-1-1]	0			{202002170800, 20200317075959}	card_1_base_card_18_ZH	6		50				2	1	[7-1-4-2-1]	1	150						
