NUL	INT	INT	NUL	INT	INT	INT	INT	INT	STRARR	INT	INT	INT	INTARR	INTARR	INT	INT	INT	NUL	INT	INTARR2	INTARR2	INTARR2	INTARR2	INT	INT	INT	INTARR2	INT	STR	STR	BOOL	INT	INT	STR	INTARR2	INTARR2	MAP	MAP	MAP	MAP
1	6	1	Level1_6(普通)	13	3		1	2	main1-2/masterstroke_1_601	6	600	300	1	5	1				1	[[9-19-1-1-1],[7-1-4-1-1],[7-3-1-1-1],[1-12-1-1-1-5],[15-1-1-1-2000],[17-1-13-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1006	6	300	[905,1],[1023,2],[1024,1]	3390	Npc/icon_boss_001.png	Npc/image_boss_01.png		5	0		[1]	[2]				
1	1	2	Level1_1(精英)	8	1		1			1	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2001	12	600	[958,44],[962,8]	4100				5	0							
1	2	2	Level1_2(精英)	9	1		1			1	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2002	12	600	[958,28],[962,10],[1002,10]	4100				5	0							
1	3	2	Level1_3(精英)	10	1		1			3	801	300	2	10	1				1	[[7-7-1-4-1],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2003	12	600	[361,1],[1151,16],[958,16],[1002,13],[334,2],[953,9],[962,6],[954,5]	4300				5	0							
1	4	2	Level1_4(精英)	11	1		1			4	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2004	12	600	[1002,10],[1151,25],[958,5],[950,1]	4400				5	0							
1	5	2	Level1_5(精英)	12	1		1			5	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2005	12	600	[958,17],[954,9],[1002,4],[953,6],[950,1],[962,4]	4500				5	0							
1	6	2	Level1_6(精英)	13	3		1			6	801	300	2	10	1				1	[[9-12-1-1-1],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2006	12	600	[905,1],[1023,2],[1024,1]	4600	Npc/icon_boss_001.png	Npc/image_boss_01.png		5	0		[1]	[2]				
1	1	3	Level1_1(挑战)	8	1		1			1	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[958,44],[962,8]	18000				5	0				[TeamBuff:{612L3}]	[TeamBuff:{15002L3}]	[MonsterBuff:{15013L3}]	
1	2	3	Level1_2(挑战)	9	1		1			2	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[958,28],[962,10],[1002,10]	18000				5	0				[TeamBuff:{612L3}]	[TeamBuff:{15002L3}]	[MonsterBuff:{15013L3}]	[MonsterBuff:{29000L3}]
1	3	3	Level1_3(挑战)	10	1		1			3	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[361,1],[1151,16],[958,16],[1002,13],[334,2],[953,9],[962,6],[954,5]	18000				5	0				[TeamBuff:{613L3}]	[ForbiddenWeapon:{2}]	[MonsterBuff:{15010}]	
1	4	3	Level1_4(挑战)	11	1		1			3	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[1002,10],[1151,25],[958,5],[950,1]	18000				5	0				[TeamBuff:{613L3}]	[ForbiddenWeapon:{2}]	[MonsterBuff:{15010}]	[MonsterBuff:{15011L5M954,15011L5M950}]
1	5	3	Level1_5(挑战)	12	1		1			4	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[958,17],[954,9],[1002,4],[953,6],[950,1],[962,4]	18000				5	0				[MonsterBuff:{15011L3}]	[TeamBuff:{612L2}]	[MonsterBuff:{15013L3}]	
1	6	3	Level1_6(挑战)	13	3		1			5	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[905,1],[1023,2],[1024,1]	18000	Npc/icon_boss_001.png	Npc/image_boss_01.png		5	0		[1]	[2]	[ForbiddenRole:{2}]	[TeamBuff:{15014L2}]	[MonsterBuff:{15006L3}]	[MonsterBuff:{29002L2,29003L2}]
2	1	1	Level2_1(普通)	14	1		1	1	main1-2/masterstroke_2_101	6	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000],[17-1-14-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1007	6	300	[958,5],[1151,9],[334,1],[1002,6],[954,8],[949,1],[962,6],[950,1]	3390				5	0							
2	2	1	Level2_2(普通)	15	1		1	1	main1-2/masterstroke_2_201	7	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[2-2-2-1-1],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1008	6	300	[958,15],[1151,15],[1002,10],[950,2],[954,7]	3470				5	0							
2	3	1	Level2_3(普通)	16	1		1	3	main1-2/masterstroke_2_301;main1-2/masterstroke_2_302	8	600	300	1	5	1				1	[[7-7-1-4-1],[7-1-4-1-1],[7-3-1-1-1],[2-3-2-1-1],[2-1-2-1-1],[15-1-1-1-2000],[17-1-15-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1009	6	300	[958,15],[1002,10],[1151,6],[897,1],[962,4],[964,1],[954,3]	3530				5	0							
2	4	1	Level2_4(普通)	17	1		1	2	main1-2/masterstroke_2_402	8	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[1-6-1-1-1-10],[1-3-1-1-1-10],[15-1-1-1-2000],[17-1-16-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1010	6	300	[1002,8],[953,8],[950,1],[1151,20],[954,4],[364,2],[962,2],[958,5]	3530				5	0							
2	5	1	Level2_5(普通)	18	1		1	2	main1-2/masterstroke_2_502	9	600	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[2-4-2-1-1],[2-5-2-1-1],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1011	6	300	[958,10],[1002,5],[1151,15],[954,5],[962,8],[949,2],[950,2]	3580				5	0							
2	6	1	Level2_6(普通)	19	3		1	2	main1-2/masterstroke_2_602	9	600	300	1	5	1				1	[[9-12-1-1-1],[7-1-4-1-1],[7-3-1-1-1],[1-9-1-1-1-13],[15-1-1-1-2000],[16-1-5-1-1],[17-1-17-1-1],[17-1-18-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1012	6	300	[296,1]	3580	Npc/icon_boss_004.png	Npc/image_boss_04.png		5	0		[0]	[1]				
2	1	2	Level2_1(精英)	14	1		1			6	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2007	12	600	[958,5],[1151,9],[334,1],[1002,6],[954,8],[949,1],[962,6],[950,1]	4600				5	0							
2	2	2	Level2_2(精英)	15	1		1			7	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2008	12	600	[958,15],[1151,15],[1002,10],[950,2],[954,7]	4700				5	0							
2	3	2	Level2_3(精英)	16	1		1			8	801	300	2	10	1				1	[[7-7-1-4-1],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2009	12	600	[958,15],[1002,10],[1151,6],[897,1],[962,4],[964,1],[954,3]	4800				5	0							
2	4	2	Level2_4(精英)	17	1		1			8	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2010	12	600	[1002,8],[953,8],[950,1],[1151,20],[954,4],[364,2],[962,2],[958,5]	4800				5	0							
2	5	2	Level2_5(精英)	18	1		1			9	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-1-7600-0-0]	[9-16-1-1],[7-1-4-2]	2011	12	600	[958,10],[1002,5],[1151,15],[954,5],[962,8],[949,2],[950,2]	4900				5	0							
2	6	2	Level2_6(精英)	19	3		1			9	801	300	2	10	1				1	[[9-12-1-1-1],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-2-3300-0-0],[7-2-1-1-1-720-0-0],[7-2-2-1-1-720-0-0],[7-2-3-1-1-720-0-0],[7-2-5-1-1-720-0-0],[7-2-6-1-1-720-0-0]	[9-16-1-1],[7-1-4-2],[7-2-1-1],[7-2-2-1],[7-2-3-1],[7-2-5-1],[7-2-6-1]	2012	12	600	[296,1]	4900	Npc/icon_boss_004.png	Npc/image_boss_04.png		5	0		[0]	[1]				
2	1	3	Level2_1(挑战)	14	1		1			6	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[958,5],[1151,9],[334,1],[1002,6],[954,8],[949,1],[962,6],[950,1]	18000				5	0				[TeamBuff:{15016L2}]	[TeamBuff:{613L2}]	[MonsterBuff:{15010}]	
2	2	3	Level2_2(挑战)	15	1		1			7	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[958,15],[1151,15],[1002,10],[950,2],[954,7]	18000				5	0				[TeamBuff:{15016L2}]	[TeamBuff:{613L2}]	[MonsterBuff:{15010}]	[MonsterBuff:{15011L5M954,15011L5M950}]
2	3	3	Level2_3(挑战)	16	1		1			7	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[958,15],[1002,10],[1151,6],[897,1],[962,4],[964,1],[954,3]	18000				5	0				[TeamBuff:{15001L3}]	[MonsterBuff:{15013L2}]	[TeamBuff:{15018}]	
2	4	3	Level2_4(挑战)	20000	1		1			8	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[1002,8],[953,8],[950,1],[1151,20],[954,4],[364,2],[962,2],[958,5]	18000				5	0				[TeamBuff:{15001L3}]	[MonsterBuff:{15013L2}]	[TeamBuff:{15018}]	[MonsterBuff:{15011L6M954,15011L6M950}]
2	5	3	Level2_5(挑战)	18	1		1			9	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[958,10],[1002,5],[1151,15],[954,5],[962,8],[949,2],[950,2]	18000				5	0				[TeamBuff:{612L3}]	[TeamBuff:{15002L3}]	[MonsterBuff:{15011L3}]	
2	6	3	Level2_6(挑战)	19	3		1			10	1002	180	0	0	1				0	[[15-2-1-1-60]]					0	0	[296,1]	18000	Npc/icon_boss_004.png	Npc/image_boss_04.png		5	0		[0]	[1]	[LimitWeapon:{5}]	[TeamBuff:{15001L2}]	[MonsterBuff:{15006L3}]	[MonsterBuff:{29004L2}]
3	1	1	Level3_1(普通)	23	1		1	3	main3-4/masterstroke_3_101;main3-4/masterstroke_3_102	10	701	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[1-10-1-1-1-14],[1-11-1-1-1-14],[15-1-1-1-2000],[[17-1-19-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1013	6	300	[967,2],[958,18],[1003,5],[950,1],[962,7],[954,7],[1002,10],[949,1]	3720				5	0							
3	2	1	Level3_2(普通)	24	1		1	3	main3-4/masterstroke_3_201;main3-4/masterstroke_3_202	12	701	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[1-1-1-1-1-15],[15-1-1-1-2000],[17-1-20-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1014	6	300	[958,22],[1003,3],[953,3],[962,3],[954,7],[1006,1],[1002,5],[950,3],[50,3],[951,1]	3870				5	0							
3	3	1	Level3_3(普通)	25	1		1	3	main3-4/masterstroke_3_301;main3-4/masterstroke_3_302	15	701	300	1	5	1				1	[[7-7-1-4-1],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000],[17-1-21-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1015	6	300	[958,10],[962,5],[975,2],[1002,9],[1006,4],[954,5],[950,1],[961,4],[1003,2]	4080				5	0							
3	4	1	Level3_4(普通)	26	1		1	2	main3-4/masterstroke_3_402	17	701	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1016	6	300	[958,25],[954,5],[1002,10],[961,2],[1003,3],[1006,3],[949,3],[962,3]	4230				5	0							
3	5	1	Level3_5(普通)	27	1		1	2	main3-4/masterstroke_3_502	19	701	300	1	5	1				1	[[15-2-1-1-20],[7-1-4-1-1],[7-3-1-1-1],[15-1-1-1-2000],[17-1-22-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1017	6	300	[1002,12],[961,3],[962,2],[1003,7],[1006,4],[954,2],[184,2],[958,15],[950,1],[949,1],[951,1],[984,1]	4380				5	0							
3	6	1	Level3_6(普通)	28	3		1	3	main3-4/masterstroke_3_601;main3-4/masterstroke_3_602	20	701	300	1	5	1				1	[[9-12-1-1-1],[7-1-4-1-1],[7-3-1-1-1],[1-8-1-1-1-19],[15-1-1-1-2000],[16-1-6-1-1],[17-1-23-1-1],[17-1-24-1-1]]	[15-1-1-1-1000-10000]	[9-16-1-1-1-120-0-0],[7-1-3-1-1-1976-0-0],[7-1-1-1-1-1976-0-0],[7-1-2-1-1-1976-0-0],[7-1-5-1-1-1976-0-0],[7-1-6-1-1-1976-0-0]	[9-16-1-1],[7-1-3-1],[7-1-1-1],[7-1-2-1],[7-1-5-1],[7-1-6-1]	1018	6	300	[954,2],[962,2],[949,2],[950,2],[951,2],[414,1],[415,3]	4470	Npc/icon_boss_003.png	Npc/image_boss_05.png		5	0		[2]	[0]				
3	1	2	Level3_1(精英)	23	1		1			10	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-2-3300-0-0],[7-2-1-1-1-720-0-0],[7-2-2-1-1-720-0-0],[7-2-3-1-1-720-0-0],[7-2-5-1-1-720-0-0],[7-2-6-1-1-720-0-0]	[9-16-1-1],[7-1-4-2],[7-2-1-1],[7-2-2-1],[7-2-3-1],[7-2-5-1],[7-2-6-1]	2013	12	600	[967,2],[958,18],[1003,5],[950,1],[962,7],[954,7],[1002,10],[949,1]	5000				5	0							
3	2	2	Level3_2(精英)	24	1		1			12	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-2-3300-0-0],[7-2-1-1-1-720-0-0],[7-2-2-1-1-720-0-0],[7-2-3-1-1-720-0-0],[7-2-5-1-1-720-0-0],[7-2-6-1-1-720-0-0]	[9-16-1-1],[7-1-4-2],[7-2-1-1],[7-2-2-1],[7-2-3-1],[7-2-5-1],[7-2-6-1]	2014	12	600	[958,22],[1003,3],[953,3],[962,3],[954,7],[1006,1],[1002,5],[950,3],[50,3],[951,1]	5200				5	0							
3	3	2	Level3_3(精英)	25	1		1			15	801	300	2	10	1				1	[[7-7-1-4-1],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-2-3300-0-0],[7-2-1-1-1-720-0-0],[7-2-2-1-1-720-0-0],[7-2-3-1-1-720-0-0],[7-2-5-1-1-720-0-0],[7-2-6-1-1-720-0-0]	[9-16-1-1],[7-1-4-2],[7-2-1-1],[7-2-2-1],[7-2-3-1],[7-2-5-1],[7-2-6-1]	2015	12	600	[958,10],[962,5],[975,2],[1002,9],[1006,4],[954,5],[950,1],[961,4],[1003,2]	5500				5	0							
3	4	2	Level3_4(精英)	26	1		1			17	801	300	2	10	1				1	[[15-2-1-1-40],[7-1-4-2-5],[15-1-1-1-4000]]	[15-1-1-1-2000-10000]	[9-16-1-1-1-2400-0-0],[7-1-4-2-2-3300-0-0],[7-2-1-1-1-720-0-0],[7-2-2-1-1-720-0-0],[7-2-3-1-1-720-0-0],[7-2-5-1-1-720-0-0],[7-2-6-1-1-720-0-0]	[9-16-1-1],[7-1-4-2],[7-2-1-1],[7-2-2-1],[7-2-3-1],[7-2-5-1],[7-2-6-1]	2016	12	600	[958,25],[954,5],[1002,10],[961,2],[1003,3],[1006,3],[949,3],[962,3]	5700				5	0							
